Cluster,Condition,Region,MFR [Hz]
0,healthy,StrD1,0.42
0,healthy,StrD1,0.00
0,healthy,StrD1,0.00
0,healthy,StrD1,0.00
0,healthy,StrD1,0.00
0,healthy,StrD1,0.00
0,healthy,StrD1,0.00
0,healthy,StrD1,0.70
0,healthy,StrD1,0.25
0,healthy,StrD1,0.00
0,healthy,StrD1,4.45
0,healthy,StrD1,0.00
0,healthy,StrD1,0.00
0,healthy,StrD1,0.00
0,healthy,StrD1,3.50
0,healthy,StrD1,0.00
0,healthy,StrD1,0.06
0,healthy,StrD1,0.00
0,healthy,StrD1,0.00
0,healthy,StrD1,4.50
0,healthy,StrD1,0.30
0,healthy,StrD1,3.23
0,healthy,StrD1,0.00
0,healthy,StrD1,0.00
0,healthy,StrD1,0.00
0,healthy,StrD1,0.00
0,healthy,StrD1,3.96
0,healthy,StrD1,0.00
0,healthy,StrD1,3.76
0,healthy,StrD1,0.00
0,healthy,StrD1,0.00
0,healthy,StrD1,0.00
0,healthy,StrD1,0.00
0,healthy,StrD1,0.00
0,healthy,StrD1,3.11
0,healthy,StrD1,0.30
0,healthy,StrD1,3.19
0,healthy,StrD1,0.00
0,healthy,StrD1,0.00
0,healthy,StrD1,1.70
0,healthy,StrD1,0.00
0,healthy,StrD1,5.50
0,healthy,StrD1,1.33
0,healthy,StrD1,4.74
0,healthy,StrD1,0.00
0,healthy,StrD1,0.00
0,healthy,StrD1,0.00
0,healthy,StrD1,0.12
0,healthy,StrD1,0.00
0,healthy,StrD1,0.00
0,healthy,StrD2,0.50
0,healthy,StrD2,0.50
0,healthy,StrD2,0.50
0,healthy,StrD2,0.50
0,healthy,StrD2,0.50
0,healthy,StrD2,0.50
0,healthy,StrD2,0.50
0,healthy,StrD2,0.50
0,healthy,StrD2,0.50
0,healthy,StrD2,0.50
0,healthy,StrD2,0.76
0,healthy,StrD2,0.50
0,healthy,StrD2,0.50
0,healthy,StrD2,0.50
0,healthy,StrD2,3.89
0,healthy,StrD2,0.50
0,healthy,StrD2,0.55
0,healthy,StrD2,0.50
0,healthy,StrD2,0.50
0,healthy,StrD2,3.46
0,healthy,StrD2,0.80
